"id","componente_id","numero_estandar","nombre","descripcion","marco_legal","puntaje_tipo1","puntaje_tipo2","puntaje_tipo3","puntaje_tipo4","criterios_verificacion","orden","activo"
"std-1.1.1","comp-sst-1","1.1.1","Asignación del responsable del SG SST","Asignar y comunicar a un responsable del SG-SST quien debe dar cuenta de manera periódica a la alta dirección de su funcionamiento y resultados.","Decreto 1072 de 2015, artículo 2.2.4.6.8, numeral 1","5","5","5","5","Documento que contenga la asignación y comunicación del responsable del SG-SST","1","1"
"std-1.1.2","comp-sst-1","1.1.2","Asignación de responsabilidades en SST
","Asignar responsabilidades específicas en Seguridad y Salud en el Trabajo (SST) a los distintos niveles de la organización.","Decreto 1072 de 2015, artículo 2.2.4.6.8, numeral 2","5","5","5","5","Documentos que contengan la asignación de responsabilidades específicas","2","1"
"std-1.1.3","comp-sst-1","1.1.3","Asignación de recursos para SG-SST","Asignar recursos económicos, técnicos y el personal necesario para el diseño, implementación, revisión evaluación y mejora de las medidas de prevención y control, para la gestión eficaz de los peligros y riesgos en el lugar de trabajo.","Decreto 1072 de 2015, artículo 2.2.4.6.8, numeral 4",,"5","5","5","Documento soporte con la asignación y disponibilidad de recursos","3","1"
"std-1.1.4","comp-sst-1","1.1.4","Afiliación al Sistema de Seguridad Social Integral","Garantizar que todos los trabajadores, independientemente de su forma de vinculación o contratación están afiliados al Sistema General de Riesgos Laborales.","Decreto 1072 de 2015, artículo 2.2.4.2.2.6; Ley 1562 de 2012","5","5","5","5","Soportes de afiliación a la ARL de todos los trabajadores","4","1"
"std-1.1.5","comp-sst-1","1.1.5","Identificación de trabajadores que se dediquen en forma permanente a actividades de alto riesgo y cotización de pensión especial","Identificar los trabajadores que se dediquen en forma permanente al ejercicio de las actividades de alto riesgo establecidas en el Decreto 2090 de 2003 o de las normas que lo adicionen, modifiquen o complementen y cotizar el monto establecido en la norma.","Decreto 2090 de 2003; Decreto 1072 de 2015",,,"5","5","Soportes del pago de aportes al Sistema General de Pensiones por actividades de alto riesgo","5","1"
"std-1.1.6","comp-sst-1","1.1.6","Conformación COPASST / Vigía","Conformar y garantizar el funcionamiento del Comité Paritario de Seguridad y Salud en el Trabajo – COPASST (empresas con 10 o más trabajadores) o el Vigía en Seguridad y Salud en el Trabajo (empresas con menos de 10 trabajadores).","Decreto 1072 de 2015, artículo 2.2.4.6.8, numeral 9; Resolución 2013 de 1986","5","5","5","5","Acta de conformación del COPASST o documento de designación del Vigía SST; Actas de reuniones del COPASST o soportes de gestión del Vigía","6","1"
"std-1.1.7","comp-sst-1","1.1.7","Capacitación COPASST / Vigía","Garantizar que todos los integrantes del COPASST o el Vigía de SST reciban una capacitación de mínimo veinte (20) horas en Seguridad y Salud en el Trabajo.","Decreto 1072 de 2015; Resolución 2013 de 1986",,"5","5","5","Certificados de capacitación de mínimo 20 horas en SST para los integrantes del COPASST o Vigía","7","1"
"std-1.1.8","comp-sst-1","1.1.8","Conformación Comité de Convivencia Laboral","Conformar y garantizar el funcionamiento del Comité de Convivencia Laboral de acuerdo con la normatividad vigente.","Resolución 652 de 2012; Resolución 1356 de 2012",,"5","5","5","Acta de conformación del Comité de Convivencia Laboral; Actas de reuniones trimestrales del Comité","8","1"
"std-1.2.1","comp-sst-1","1.2.1","Programa de capacitación anual ","Elaborar y ejecutar el programa de capacitación anual en promoción y prevención, que incluya lo referente a los peligros/riesgos prioritarios y las medidas de prevención y control, extensivo a todos los niveles de la organización.","Decreto 1072 de 2015, artículo 2.2.4.6.11",,"20","20","20","Programa de capacitación anual y ejecutoria del mismo; Registro de asistencia de los trabajadores","9","1"
"std-1.2.2","comp-sst-1","1.2.2","Inducción y reinducción en SST","Realizar la inducción y reinducción en los aspectos generales y específicos de las actividades por realizar que incluya entre otros, la identificación de peligros y control de los riesgos en su trabajo, y la prevención de accidentes de trabajo y enfermedades laborales.","Decreto 1072 de 2015, artículo 2.2.4.6.11",,"20","20","20","Registros de inducción y reinducción en SST; Contenido de la inducción y reinducción","10","1"
"std-1.2.3","comp-sst-1","1.2.3","Curso Virtual de capacitación de cincuenta (50) horas en SST","El responsable del SG-SST debe realizar un curso de capacitación virtual de cincuenta (50) horas sobre el Sistema de Gestión de la Seguridad y Salud en el Trabajo SG-SST.","Resolución 4927 de 2016; Decreto 1072 de 2015",,"20","20","20","Certificado de aprobación del curso de cincuenta (50) horas en SST del responsable del SG-SST","11","1"
"std-2.1.1","comp-sst-2","2.1.1","Política de Seguridad y Salud en el Trabajo","Política de Seguridad y Salud en el Trabajo firmada, fechada y comunicada al COPASST/Vigía de SST.","Decreto 1072 de 2015, artículo 2.2.4.6.5","10","10","10","10","Documento escrito de la política firmada, fechada y comunicada","3","1"
"std-2.10.1","comp-sst-2","2.10.1","Evaluación y selección de proveedores y contratistas","Establecer los aspectos de SST que podrá tener en cuenta la empresa en la evaluación y selección de proveedores y contratistas.","Decreto 1072 de 2015, artículo 2.2.4.6.28",,,"20","20","Procedimiento de evaluación y selección de proveedores y contratistas con criterios de SST; Registros de evaluación","21","1"
"std-2.11.1","comp-sst-2","2.11.1","Gestión del cambio","Disponer de un procedimiento para evaluar el impacto sobre la SST que puedan generar los cambios internos o externos.","Decreto 1072 de 2015, artículo 2.2.4.6.26",,,"10","10","Procedimiento de gestión del cambio; Registros de análisis de cambios y su impacto en SST","22","1"
"std-2.2.1","comp-sst-2","2.2.1","Objetivos de SST","Definir los objetivos del SG-SST de conformidad con la política de SST, los cuales deben ser claros, medibles, cuantificables y tener metas, coherentes con el plan de trabajo anual, compatibles con la normatividad vigente.","Decreto 1072 de 2015, artículo 2.2.4.6.7 y 2.2.4.6.18",,"10","10","10","Objetivos del SG-SST documentados; Indicadores de cumplimiento de los objetivos","13","1"
"std-2.3.1","comp-sst-2","2.3.1","Evaluación Inicial del Sistema de Gestión","Realizar la evaluación inicial del Sistema de Gestión de SST, identificando las prioridades para establecer el plan de trabajo anual o para la actualización del existente.","Decreto 1072 de 2015, artículo 2.2.4.6.16",,,"10","10","Evaluación inicial del SG-SST; Identificación de prioridades en SST; Autoevaluación de estándares mínimos","14","1"
"std-2.4.1","comp-sst-2","2.4.1","Plan Anual de Trabajo","Diseñar y definir un plan de trabajo anual para alcanzar cada uno de los objetivos, en el que se especifiquen metas, actividades claras para su desarrollo, responsables, cronograma y recursos necesarios.","Decreto 1072 de 2015, artículo 2.2.4.6.8, numeral 7 y 2.2.4.6.17",,"20","20","20","Plan de trabajo anual firmado por el empleador; Cronograma de actividades; Asignación de recursos y responsables","15","1"
"std-2.5.1","comp-sst-2","2.5.1","Archivo y retención documental del Sistema de Gestión de SST","Mantener disponibles y debidamente actualizados todos los documentos que soportan el SG-SST y garantizar la conservación de los mismos de conformidad con la normatividad vigente.","Decreto 1072 de 2015, artículo 2.2.4.6.13",,,"20","20","Sistema de archivo y retención documental del SG-SST; Procedimiento de control de documentos","16","1"
"std-2.6.1","comp-sst-2","2.6.1","Rendición de cuentas","Realizar anualmente la rendición de cuentas del desarrollo del SG-SST, que incluya a todos los niveles de la empresa.","Decreto 1072 de 2015, artículo 2.2.4.6.8, numeral 3",,,"10","10","Documento de rendición de cuentas anual; Evidencia de participación de los diferentes niveles","17","1"
"std-2.7.1","comp-sst-2","2.7.1","Matriz legal","Identificar la normatividad vigente en materia de SST, el Sistema General de Riesgos Laborales y mantenerla actualizada.","Decreto 1072 de 2015, artículo 2.2.4.6.8, numeral 5",,,"20","20","Matriz legal actualizada; Procedimiento de identificación y actualización de requisitos legales","18","1"
"std-2.8.1","comp-sst-2","2.8.1","Mecanismos de comunicación","Establecer mecanismos eficaces para recibir y dar respuesta a las comunicaciones internas y externas relativas a la SST, así como para disponer de canales que permitan recolectar inquietudes, ideas y aportes de los trabajadores.","Decreto 1072 de 2015, artículo 2.2.4.6.14",,,"10","10","Mecanismos de comunicación implementados; Registros de comunicaciones internas y externas en SST","19","1"
"std-2.9.1","comp-sst-2","2.9.1","Identificación y evaluación para la adquisición de bienes y servicios","Establecer un procedimiento para la identificación y evaluación de las especificaciones en SST de las compras o adquisición de productos y servicios de proveedores y contratistas.","Decreto 1072 de 2015, artículo 2.2.4.6.27",,,"10","10","Procedimiento de adquisiciones con criterios de SST; Especificaciones técnicas de SST en compras","20","1"
"std-3.1.1","comp-sst-3","3.1.1","Descripción sociodemográfica y Diagnóstico de las condiciones de salud de los trabajadores","Realizar evaluaciones médicas ocupacionales (ingreso, periódicas, retiro) acorde con la identificación de peligros.","Resolución 2346 de 2007, Decreto 1072 de 2015 art 2.2.4.6.24","10","10","10","10","Documentos de evaluaciones médicas ocupacionales y restricciones","4","1"
"std-3.1.2","comp-sst-3","3.1.2","Actividades de medicina del trabajo y de prevención y promoción de la Salud","Desarrollar actividades de promoción de la salud y prevención de accidentes de trabajo y enfermedades laborales.","Decreto 1072 de 2015, artículo 2.2.4.6.8, numeral 8",,"10","10","10","Programa de promoción y prevención; Registros de actividades desarrolladas","24","1"
"std-3.1.3","comp-sst-3","3.1.3","Perfiles de cargos","Informar al médico que realiza las evaluaciones ocupacionales los perfiles de cargo con una descripción de las tareas y el medio en el cual se desarrollará la labor respectiva.","Resolución 2346 de 2007; Decreto 1072 de 2015",,,"10","10","Perfiles de cargo con descripción de tareas y riesgos; Comunicación al médico de los perfiles","25","1"
